,School Name,City,2022 Student Enrollments,National Rank,AZ Rank,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,AP Classes?,Dual Enrollment?,Offers Sports?
71,Basis Phoenix,PHOENIX,758.0,7748.0,155.0,57.0,2.0,0.0,6.0,34.0,1.0,1,1,1
72,Bourgade Catholic High School,PHOENIX,390.0,1566.0,13.0,28.0,2.0,0.0,54.0,6.0,10.0,1,1,1
73,Brophy College Preparatory,PHOENIX,1391.0,87.0,2.0,60.0,3.0,1.0,18.0,7.0,11.0,1,1,1
74,Redeemer Christian School,MESSA,72.0,4773.0,42.0,64.0,0.0,0.0,13.0,21.0,2.0,1,1,1
75,Rhodes Junior High School,MESSA,953.0,467.0,11.0,26.0,6.0,6.0,58.0,2.0,2.0,1,1,1
76,Ville De Marie Academy,SCOTTSDALE,109.0,4017.0,36.0,85.0,0.0,1.0,10.0,4.0,0.0,1,1,1
77,Desert Marigold School,PHOENIX,326.0,14142.0,254.0,72.0,3.0,2.0,14.0,2.0,7.0,0,0,1
78,Durango Transitional Learning Center,PHOENIX,82.0,21202.0,428.0,20.0,35.0,1.0,40.0,1.0,3.0,0,0,0
79,South ridge high school,PHOENIX,445.0,5152.0,1224.0,7.0,11.0,1.0,78.0,2.0,1.0,1,1,1
80,Phoenix Country Day School,PARADISE VALLEY,747.0,564.0,7.0,70.0,3.0,1.0,6.0,10.0,9.0,1,1,1
81,Dobson High School,MESA,2639.0,501.0,20.0,38.0,8.0,5.0,45.0,3.0,1.0,1,1,1
82,Basis Mesa,MESA,1000.0,22.0,3.0,75.0,5.0,0.0,15.0,5.0,0.0,1,1,1
83,Arizona Agribusiness & Equine Center Inc. - Red Mountain,MESA,115.0,6281.0,106.0,67.8,5.2,1.2,23.5,1.7,1.2,1,1,0
84,Asu Preparatory Academy-polytechnic High School,MESA,424.0,7284.0,124.0,37.3,5.9,1.9,44.3,5.0,5.4,0,1,1
85,Carson Junior High School,MESA,1125.0,6108.0,446.0,17.5,6.5,14.4,58.0,0.4,3.2,0,1,1
86,Desert Ridge High School,MESA,2400.0,7011.0,123.0,60.2,3.1,1.5,27.9,3.1,4.2,1,1,1
87,Northwest Christian School,PHOENIX,1453.0,79.0,1.0,83.0,1.0,1.0,9.0,2.0,4.0,1,1,1
88,Kino Junior High School,MESA,1039.0,1769.0,467.0,13.0,3.0,7.0,76.0,0.0,0.0,1,0,1
89,Genesis Acedemy,PHOENIX ,119.0,13838.0,250.0,3.0,5.0,3.0,88.0,0.0,1.0,1,1,1
90,Girls Leadership Academy Of Arizona ,PHOENIX ,120.0,13261.0,237.0,5.0,15.0,2.0,76.0,2.0,1.0,1,1,1
91,Glenview College Preparatory High School,PHOENIX ,193.0,9164.0,161.0,12.0,10.0,1.0,74.0,1.0,2.0,1,1,1
92,Great Hearts Academies- Archway Veritas,PHOENIX ,536.0,5303.0,137.0,77.0,1.0,0.0,10.0,4.0,7.0,1,1,1
93,Desert Hills High School,GILBERT,195.0,17392.0,319.0,37.0,11.0,17.0,31.0,0.0,4.0,1,0,1
94,Eduprize School Gilbert,GILBERT,1837.0,2062.0,72.0,71.0,3.0,1.0,17.0,4.0,3.0,0,1,1
95,Canyon State Academy,QUEEN CREEK,347.0,17392.0,319.0,37.0,11.0,17.0,31.0,0.0,4.0,1,0,1
96,Dr. Camille Casteel High School,QUEEN CREEK,907.0,17392.0,319.0,37.0,11.0,17.0,31.0,0.0,4.0,1,0,1
