School Name,City,Zip Code,2022 Student Enrollments,AP Classes?,Dual Enrollment?,Offers Electives?,Offers Sports?,Sports Rank,Teaching/Educational Method,Mental Health Services?,Math Score,English Score,National Rank,AZ Rank,Student-Teacher Ratio,Suicide Data,Crime-related Data,Racial%-White,Racial%-Black,Racial%-Native,Racial%-Hispanic,Racial%-Asian,Racial%-Other,Lunch%-Free,Lunch%-Reduced,Lunch%-Paid,
West-Mec - Sandra Day O'Connor High School,"Glendale , AZ",85310,"2,534",Yes,Yes,Yes,Yes,Did not find ,Traditional,No,60-64%,55-59%,"25,948",630th out of 659,17.59:1,Did not find ,Student found with gun,74.2,2.6,1,13.2,5,3.5,NA,NA,NA,
Westland School Brighton Campus,"Glendale , AZ",85305,299,Yes,Yes,Yes,Yes,108,Traditional/virtual classrooms,Yes,27%,32%,"12,833",229,#VALUE!,Did not find ,Did not find ,15,14,2,64,0,4,70,11,20,
Aspc-Perryville (School closed in 2021),"Goodyear, AZ",85338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Basis Goodyear(This School seemes to be closed),"Goodyear, AZ",85338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Mosaica Preparatory Academy of Chandler,"Chandler, AZ",85226,Closed 2021,Yes,Yes,Yes,Yes,N/A,Traditional,Yes,N/A,N/A,Unranked,Unranked,Unknown,N/A,N/A,19.7,42.7,2.8,28.7,2.8,5.1,16,127,Unknown,"Mosaica Preparatory Academy Of Chandler (Closed 2021) - Chandler, AZ (publicschoolreview.com)"
Oasis Recovery,"Chandler, AZ",85225,35,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,"6,014",60,35:01:00,N/A,N/A,57%,26%,0%,11%,3%,0%,N/A,N/A,N/A,
Paragon Science Academy,"Chandler, AZ",85226,448,Yes,Yes,Yes,Yes,N/A,Traditional,N/A,85%,38%,"11,638",210,#VALUE!,N/A,N/A,37%,19%,1%,12%,29%,1%,31%,3%,66%,
Primavera - Online,"Chandler, AZ",85225,"3,299",Yes,Yes,No,No,N/A,Virtual,N/A,14%,31%,153,7,#VALUE!,N/A,N/A,49%,5%,4%,37%,1%,1%,16%,27%,57%,
Santam Junior High School,"Chandler, AZ",85249,"1,354",No,No,Yes,No,N/A,Traditional,N/A,44%,53%,Unranked,Unknown,21.6:1,N/A,N/A,70%,6%,1%,12%,9%,2%,11%,2%,87%,
Shearim Torah High School For Girls,"Phoenix, AZ",85014,36,Yes,NA,Yes,NA,NA,Traditional Jewish Education,Yes,NA,NA,NA,14,6:01,NA,NA,64,0,0,0,36,0,60,0,100,
